url,fid,name,nick,birth_date,height,weight,association,class,locality,country,base_style,num_wins,num_losses,total_fights,win_rate
/fighter/mike-russow-20552,20552,mike russow,,11/9/1976,73.0,256.0,,heavyweight,"chicago, illinois",usa,wrestling,15,3,18,0.8333333333333334
/fighter/royce-alger-163,163,royce alger,,,,,,,,,wrestling,3,2,5,0.6
/fighter/wallid-ismail-154,154,wallid ismail,,2/22/1968,67.0,182.0,brazil dojo,middleweight,rio de janeiro,brazil,bjj,9,3,12,0.75
/fighter/vinc-pichel-57848,57848,vinc pichel,from hell,11/23/1982,70.0,155.0,,lightweight,"simi valley, california",usa,mma,11,2,13,0.8461538461538461
/fighter/ryan-hall-15962,15962,ryan hall,the wizard,2/22/1985,70.0,145.0,5050 brazillian jiu jitsu,featherweight,"arlington, virginia",usa,bjj,6,1,7,0.8571428571428571
/fighter/johnny-rees-14891,14891,johnny rees,the hater hurter,,72.0,178.0,,middleweight,"greenwood, indiana",usa,mma,13,5,18,0.7222222222222222
/fighter/mike-stumpf-20967,20967,mike stumpf,,8/1/1986,70.0,170.0,team curran,welterweight,"crystal lake, illinois",usa,mma,11,4,15,0.7333333333333333
/fighter/keith-berish-46314,46314,keith berish,sha bang bang,11/14/1985,72.0,203.0,black & blue mma,light heavyweight,"poughkeepsie, new york",usa,mma,5,1,6,0.8333333333333334
/fighter/jake-collier-83599,83599,jake collier,,10/23/1988,75.0,185.0,pit mma,middleweight,"cuba, missouri",usa,mma,11,4,15,0.7333333333333333
/fighter/joe-veres-7329,7329,joe veres,,11/9/1977,66.0,155.0,mma lab,lightweight,"glendale, california",usa,mma,4,3,7,0.5714285714285714
/fighter/igor-araujo-12803,12803,igor araujo,,12/6/1980,73.0,170.0,jackson-wink mma,welterweight,"brasilia, federal district",,bjj,25,10,35,0.7142857142857143
/fighter/michinori-tanaka-71942,71942,michinori tanaka,,10/4/1990,65.0,135.0,reversal gym yokohama ground slam,bantamweight,"yokohama, kanagawa",japan,judo,12,3,15,0.8
/fighter/aaron-riley-1567,1567,aaron riley,,12/9/1980,69.0,155.0,jackson-wink mma,lightweight,"tell city, indiana",usa,wrestling,30,14,44,0.6818181818181818
/fighter/joao-roque-256,256,joao roque,,7/22/1971,66.0,145.0,nova uniao,featherweight,"luanda, luanda",angola,bjj,7,2,9,0.7777777777777778
/fighter/joey-gilbert-1306,1306,joey gilbert,,4/14/1970,65.0,154.0,gilbert grappling,lightweight,"chicago, illinois",usa,wrestling,2,3,5,0.4
/fighter/shane-primm-18304,18304,shane primm,,7/30/1984,76.0,185.0,gracie tampa,middleweight,"tampa, florida",usa,bjj,5,5,10,0.5
/fighter/romie-aram-85,85,romie aram,,,70.0,170.0,millennia mma,welterweight,"ontario, california",usa,bjj,7,1,8,0.875
/fighter/joseph-sandoval-63897,63897,joseph sandoval,,5/11/1986,66.0,135.0,bighead mma,bantamweight,"lubbock, texas",usa,mma,7,7,14,0.5
/fighter/joey-gomez-64975,64975,joey gomez,the ko king,7/21/1986,68.0,135.0,team triumph,bantamweight,"hollis, new hampshire",usa,bjj,6,2,8,0.75
/fighter/yaotzin-meza-15937,15937,yaotzin meza,,2/4/1981,69.0,145.0,mma lab,featherweight,"glendale, arizona",usa,wrestling,22,11,33,0.6666666666666666
/fighter/jordan-radev-5925,5925,jordan radev,,,67.0,170.0,sportcentrum kops,welterweight,,bulgaria,wrestling,23,5,28,0.8214285714285714
/fighter/teemu-packalen-92415,92415,teemu packalen,,5/22/1987,73.0,155.0,finnfighters gym,lightweight,turku,finland,wrestling,8,2,10,0.8
/fighter/ron-faircloth-2290,2290,ron faircloth,,,69.0,205.0,dungeon mma,light heavyweight,"stoughton, wisconsin",usa,mma,33,20,53,0.6226415094339622
/fighter/brendan-loughnane-44417,44417,brendan loughnane,,,70.0,145.0,all powers gym,featherweight,"manchester, greater manchester",england,kickboxing,15,3,18,0.8333333333333334
/fighter/jessica-rakoczy-53506,53506,jessica rakoczy,ragin',4/14/1977,67.0,115.0,,strawweight,"hamilton, ontario",canada,boxing,1,5,6,0.16666666666666666
/fighter/kalib-starnes-8095,8095,kalib starnes,,1/6/1975,75.0,205.0,aegis athletics,light heavyweight,"surrey, british columbia",canada,bjj,17,11,28,0.6071428571428571
/fighter/garett-whiteley-39261,39261,garett whiteley,,12/13/1980,72.0,155.0,indyboxing and grappling,lightweight,"indianapolis, indiana",usa,boxing,7,3,10,0.7
/fighter/tj-waldburger-15125,15125,t.j. waldburger,,4/25/1988,71.0,170.0,grapplers lair fight team,welterweight,"belton, texas",usa,bjj,16,9,25,0.64
/fighter/josh-shockley-24948,24948,josh shockley,,11/15/1989,73.0,155.0,duneland vale tudo,lightweight,"lake station, indiana",usa,vale tudo,11,4,15,0.7333333333333333
/fighter/henry-martinez-13237,13237,henry martinez,,8/7/1983,67.0,155.0,team irish,lightweight,"albuquerque, new mexico",usa,mma,9,4,13,0.6923076923076923
/fighter/aaron-brink-271,271,aaron brink,,11/12/1974,75.0,203.0,,light heavyweight,"san diego, california",usa,boxing,28,26,54,0.5185185185185185
/fighter/niklas-backstrom-54620,54620,niklas backstrom,,8/22/1989,72.0,145.0,allstars training center,featherweight,stockholm,sweden,jujutsu,11,3,14,0.7857142857142857
/fighter/cale-yarbrough-34073,34073,cale yarbrough,,12/27/1986,74.0,203.0,hardcore gym,light heavyweight,"atlanta, georgia",usa,mma,8,3,11,0.7272727272727273
/fighter/michael-patt-3506,3506,michael patt,,,72.0,205.0,meat truck inc.,light heavyweight,"dayton, ohio",usa,bjj,12,4,16,0.75
/fighter/sean-alvarez-1964,1964,sean alvarez,,7/14/1971,72.0,235.0,renzo gracie jiu-jitsu,heavyweight,new york,usa,bjj,4,3,7,0.5714285714285714
/fighter/assuerio-silva-1587,1587,assuerio silva,,6/18/1974,73.0,235.0,,heavyweight,"curitiba, parana",brazil,bjj,16,8,24,0.6666666666666666
/fighter/mark-hughes-268,268,mark hughes,,10/13/1973,68.0,185.0,miletich martial arts,middleweight,"hillsborough, illinois",usa,wrestling,6,2,8,0.75
/fighter/gideon-ray-4555,4555,gideon ray,,5/27/1973,70.0,170.0,mma masters chicago,welterweight,"roselle, illinois",usa,mma,17,15,32,0.53125
/fighter/jan-blachowicz-25821,25821,jan blachowicz,,2/24/1983,74.0,205.0,pj promotion,light heavyweight,cieszyn,poland,bjj,23,7,30,0.7666666666666667
/fighter/mats-nilsson-32446,32446,mats nilsson,,12/5/1983,73.0,185.0,rumble sports,middleweight,helsingborg,sweden,judo,11,4,15,0.7333333333333333
/fighter/rick-davis-4832,4832,rick davis,,,,155.0,las vegas combat club,lightweight,"las vegas, nevada",usa,mma,3,1,4,0.75
/fighter/luke-cummo-6428,6428,luke cummo,,4/27/1980,72.0,170.0,serra-longo fight team,welterweight,"new hyde park, new york",usa,muay thai,6,6,12,0.5
/fighter/justin-james-1926,1926,justin james,pretty boy,,70.0,155.0,,lightweight,nebraska,usa,mma,13,7,20,0.65
/fighter/nick-agallar-2295,2295,nick agallar,,1/13/1979,,155.0,agallar combative systems,lightweight,"racine, wisconsin",usa,mma,24,6,30,0.8
/fighter/jeremy-larsen-19863,19863,jeremy larsen,,3/11/1986,70.0,145.0,arizona combat sports,featherweight,"phoenix, arizona",usa,mma,8,5,13,0.6153846153846154
/fighter/war-machine-10999,10999,war machine,,11/30/1981,71.0,170.0,und1sputed,welterweight,"las vegas, nevada",usa,mma,14,5,19,0.7368421052631579
/fighter/james-giboo-14266,14266,james giboo,,6/1/1978,71.0,170.0,,welterweight,"yale, iowa",usa,wrestling,13,5,18,0.7222222222222222
/fighter/kelly-dullanty-354,354,kelly dullanty,psycho,7/4/1977,68.0,155.0,,lightweight,"san jose, california",usa,mma,4,2,6,0.6666666666666666
/fighter/rob-yundt-16858,16858,rob yundt,,5/5/1980,,185.0,,middleweight,"wasilla, alaska",usa,mma,9,5,14,0.6428571428571429
/fighter/cristiano-marcello-3530,3530,cristiano marcello,,12/3/1977,70.0,155.0,cm system,lightweight,"curitiba, parana",brazil,bjj,13,6,19,0.6842105263157895
/fighter/magomed-mustafaev-80231,80231,magomed mustafaev,,8/2/1988,69.0,155.0,fight club berkut,lightweight,"sochi, krasnodar krai",russia,wrestling,13,2,15,0.8666666666666667
/fighter/jason-gilliam-10754,10754,jason gilliam,,10/31/1972,72.0,169.0,team wolfpack,welterweight,"muncie, indiana",usa,mma,15,9,24,0.625
