fighter_1,fighter_2,age_1,age_2,height_1,height_2,gym_score_1,gym_score_2,country_score_1,country_score_2,style_score_1,style_score_2,win_rate_1,win_rate_2,total_fights_1,total_fights_2,result
anthony lapsley,jason high,33.0,32,69.0,69.0,0.0,0.7248858741908029,1.274193758222465,1.274193758222465,0.9340826698197278,0.9340826698197278,0.7666666666666667,0.7241379310344828,30,29,-1
edwin dewees,rich franklin,21.0,29,73.0,73.0,0.691657034065411,0.7095609026396921,1.274193758222465,1.274193758222465,0.900732763604033,0.7440580190442426,0.6909090909090909,0.8055555555555556,55,36,-1
philip de fries,oli thompson,26.0,32,76.0,73.0,0.7052038054769673,0.643605086013463,0.7161993241395903,0.7161993241395903,0.8781995850704947,0.6220037156191943,0.7272727272727273,0.6428571428571429,22,28,1
ryan madigan,tamdan mccrory,,23,72.0,76.0,0.6257479431563201,0.737590048419478,1.274193758222465,1.274193758222465,0.900732763604033,0.9340826698197278,0.625,0.7368421052631579,8,19,-1
chris haseman,evan tanner,33.0,31,71.0,72.0,0.5412884836968607,0.0,0.6651394139302744,1.274193758222465,0.7289114492815056,0.9340826698197278,0.5405405405405406,0.8,37,40,-1
karo parisyan,nick thompson,24.0,25,70.0,73.0,0.0,0.7537397157816006,1.274193758222465,1.274193758222465,0.7479316717432264,0.9340826698197278,0.6666666666666666,0.7307692307692307,36,52,1
patrick cote,travis lutter,26.0,33,71.0,74.0,0.6772185313916143,0.6681625529793068,0.7306421727422159,1.274193758222465,0.7274917254889377,0.7461020623994898,0.6764705882352942,0.625,34,16,-1
nate schroeder,ian freeman,,30,73.0,71.0,0.0,0.7414886838970608,1.274193758222465,0.7161993241395903,0.900732763604033,0.7274917254889377,0.5238095238095238,0.7407407407407407,21,27,-1
leo kuntz,tae hyun bang,32.0,32,70.0,69.0,0.7357881938413439,0.6897438294689604,1.274193758222465,0.7247327880848613,0.900732763604033,0.900732763604033,0.8181818181818182,0.6428571428571429,22,28,-1
randy couture,vitor belfort,41.0,27,73.0,72.0,0.7244721593929946,0.7263644380937496,1.274193758222465,0.847999030848203,0.9340826698197278,0.7274917254889377,0.6333333333333333,0.65,30,40,1
mark eddiva,edimilson souza,28.0,30,68.0,72.0,0.6840620112871422,0.762652705061082,0.683819516040997,0.847999030848203,0.6511695137976347,0.7274917254889377,0.6666666666666666,0.7619047619047619,9,21,-1
omari akhmedov,thiago de oliveira perpetuo,26.0,27,72.0,70.0,0.732425597049973,0.6930556354640124,0.8398920709044124,0.847999030848203,0.9340826698197278,0.8781995850704947,0.8095238095238095,0.6923076923076923,21,13,1
phil harris,louis gaudinot,31.0,30,65.0,63.0,0.6478067666857319,0.7671805759966543,0.7161993241395903,1.274193758222465,0.7479316717432264,0.7440580190442426,0.6470588235294118,0.6666666666666666,34,12,0
