pageurl,eid,mid,event_name,event_org,event_date,event_place,f1pageurl,f2pageurl,f1name,f2name,f1result,f2result,f1fid,f2fid,method,method_d,ref,round,time
/events/ufc-6-clash-of-the-titans-12,12,5,ufc 6 - clash of the titans,ultimate fighting championship,7/14/1995,"casper events center, casper, wyoming, united states",/fighter/rudyard-moncayo-114,/fighter/patrick-smith-21,rudyard moncayo,patrick smith,loss,win,114,21,submission,rear-naked choke,john mccarthy,1,1:08
/events/ufc-22-there-can-be-only-one-champion-32,32,6,ufc 22 - there can be only one champion,ultimate fighting championship,9/24/1999,"lake charles civic center, lake charles, louisiana, united states",/fighter/jeremy-horn-202,/fighter/jason-godsey-215,jeremy horn,jason godsey,win,loss,202,215,submission,armbar,john mccarthy,1,2:08
/events/ufc-on-fx-guillard-vs-miller-19068,19068,9,ufc on fx - guillard vs. miller,ultimate fighting championship,1/20/2012,"bridgestone arena, nashville, tennessee, united states",/fighter/duane-ludwig-101,/fighter/josh-neer-9179,duane ludwig,josh neer,loss,win,101,9179,technical,submission (guillotine choke,josh rosenthal,1,3:04
/events/ufc-163-aldo-vs-korean-zombie-28015,28015,7,ufc 163 - aldo vs. korean zombie,ultimate fighting championship,8/3/2013,"hsbc arena, rio de janeiro, brazil, brazil",/fighter/vinny-magalhaes-10709,/fighter/anthony-perosh-9491,vinny magalhaes,anthony perosh,loss,win,10709,9491,ko,punches,mario yamasaki,1,0:14
/events/ufc-169-barao-vs-faber-2-32773,32773,10,ufc 169 - barao vs. faber 2,ultimate fighting championship,2/1/2014,"prudential center, newark, new jersey, united states",/fighter/frank-mir-2329,/fighter/alistair-overeem-461,frank mir,alistair overeem,loss,win,2329,461,decision,unanimous,dan miragliotta,3,5:00
/events/ufc-on-fx-4-maynard-vs-guida-20385,20385,6,ufc on fx 4 - maynard vs. guida,ultimate fighting championship,6/22/2012,"revel atlantic city, atlantic city, new jersey, united states",/fighter/brock-jardine-36630,/fighter/rick-story-25989,brock jardine,rick story,loss,win,36630,25989,decision,unanimous,dan miragliotta,3,5:00
/events/ufc-the-ultimate-fighter-22-finale-47439,47439,3,ufc - the ultimate fighter 22 finale,ultimate fighting championship,12/11/2015,"the chelsea at the cosmopolitan, las vegas, nevada, united states",/fighter/mike-pierce-25415,/fighter/ryan-laflare-34409,mike pierce,ryan laflare,loss,win,25415,34409,decision,unanimous,jason herzog,3,5:00
/events/ufc-on-fox-14-gustafsson-vs-johnson-42123,42123,4,ufc on fox 14 - gustafsson vs. johnson,ultimate fighting championship,1/24/2015,"tele2 arena, stockholm, sweden, sweden",/fighter/mairbek-taisumov-33161,/fighter/anthony-christodoulou-53712,mairbek taisumov,anthony christodoulou,win,loss,33161,53712,ko,punches,leon roberts,2,0:38
/events/ufc-60-hughes-vs-gracie-3666,3666,3,ufc 60 - hughes vs. gracie,ultimate fighting championship,5/27/2006,"staples center, los angeles, california, united states",/fighter/spencer-fisher-5118,/fighter/matt-wiman-12236,spencer fisher,matt wiman,win,loss,5118,12236,ko,flying knee,,2,1:43
/events/ufc-186-johnson-vs-horiguchi-42193,42193,8,ufc 186 - johnson vs. horiguchi,ultimate fighting championship,4/25/2015,"bell centre, montreal, quebec, canada",/fighter/yves-jabouin-1693,/fighter/thomas-almeida-87865,yves jabouin,thomas almeida,loss,win,1693,87865,tko,punches,yves lavigne,1,4:18
