fighter_1,fighter_2,age_1,age_2,height_1,height_2,gym_score_1,gym_score_2,country_score_1,country_score_2,style_score_1,style_score_2,win_rate_1,win_rate_2,total_fights_1,total_fights_2,result
andrei arlovski,marcio cruz,27.0,28.0,76.0,76.0,0.732425597049973,0.7324025596276905,0.6848785266126785,0.847999030848203,0.7660743588234911,0.8781995850704947,0.6136363636363636,0.7272727272727273,44,11,1
jon fitch,mike pierce,31.0,29.0,72.0,68.0,0.7161473349170837,0.6295165567416877,1.2741937582224652,1.2741937582224652,0.9340826698197278,0.9340826698197278,0.8157894736842105,0.7083333333333334,38,24,1
per eklund,sam stout,28.0,24.0,70.0,69.0,0.7375900484194781,0.6078776322858618,0.7296460731164326,0.7306421727422159,0.7274917254889377,0.7468919244703861,0.7368421052631579,0.625,19,32,-1
jacob volkmann,bobby green,33.0,27.0,69.0,70.0,0.7537397157816006,0.6996090938598101,1.2741937582224652,1.2741937582224652,0.9340826698197278,0.9340826698197278,0.7307692307692307,0.7272727272727273,26,33,-1
wilson gouveia,seth petruzelli,29.0,28.0,74.0,72.0,0.7357881938413439,0.6168805016972556,1.2741937582224652,1.2741937582224652,0.8781995850704947,0.9340826698197278,0.6363636363636364,0.6363636363636364,22,22,1
ryan jimmo,jimi manuwa,32.0,33.0,74.0,72.0,0.726447723306362,0.7734752158835928,0.7306421727422159,0.7161993241395903,0.7440580190442426,0.7274917254889377,0.7916666666666666,0.7727272727272727,24,22,-1
michael bisping,wanderlei silva,31.0,34.0,74.0,70.0,0.7699787123870894,0.7583109215614507,0.7161993241395903,0.847999030848203,0.7289114492815056,0.6457304203132154,0.7692307692307693,0.7142857142857143,39,49,-1
soa palelei,walt harris,37.0,31.0,76.0,76.0,0.7529917726252805,0.7357881938413439,0.6651394139302744,1.2741937582224652,0.9340826698197278,0.900732763604033,0.8148148148148148,0.6111111111111112,27,18,1
caio magalhaes,trevor smith,27.0,33.0,73.0,75.0,0.6857881332664287,0.6257479431563201,0.847999030848203,1.2741937582224652,0.8781995850704947,0.9340826698197278,0.625,0.625,16,24,1
matt serra,yves edwards,27.0,25.0,66.0,70.0,0.6831488995812697,0.7357881938413439,1.2741937582224652,1.2741937582224652,0.8781995850704947,0.6511695137976347,0.6111111111111112,0.65625,18,64,1
sergio pettis,chris cariaso,22.0,34.0,66.0,63.0,0.7195520012273939,0.6807479431563201,1.2741937582224652,1.2741937582224652,0.6862989651458709,0.8781995850704947,0.7727272727272727,0.68,22,25,1
luke zachrich,daniel kelly,33.0,37.0,74.0,72.0,0.7785257209340979,0.7654538255092612,1.2741937582224652,0.6651394139302744,0.900732763604033,0.7479316717432264,0.7777777777777778,0.7647058823529411,18,17,-1
chad mendes,jose aldo,27.0,26.0,66.0,67.0,0.748812936370682,0.7852620888885841,1.2741937582224652,0.847999030848203,0.9340826698197278,0.8781995850704947,0.8181818181818182,0.8709677419354839,22,31,-1
ryan jimmo,sean o'connell,33.0,31.0,74.0,73.0,0.726447723306362,,0.7306421727422159,1.2741937582224652,0.7440580190442426,0.9340826698197278,0.7916666666666666,0.6666666666666666,24,30,1
clay guida,marcus aurelio,26.0,34.0,67.0,70.0,0.732425597049973,0.7514958863126402,1.2741937582224652,0.847999030848203,0.9340826698197278,0.8781995850704947,0.6538461538461539,0.6875,52,32,1
roman mitichyan,george sotiropoulos,30.0,31.0,70.0,70.0,,0.7357881938413439,0.763238984719972,0.6651394139302744,0.9340826698197278,0.8781995850704947,0.7272727272727273,0.6666666666666666,11,21,-1
eddie sanchez,soa palelei,25.0,30.0,75.0,76.0,0.7405818210447584,0.7529917726252805,1.2741937582224652,0.6651394139302744,0.900732763604033,0.9340826698197278,0.6521739130434783,0.8148148148148148,23,27,1
brad blackburn,damarques johnson,33.0,28.0,70.0,72.0,0.6718090468602648,0.7207208478570722,1.2741937582224652,1.2741937582224652,0.900732763604033,0.9340826698197278,0.5806451612903226,0.5,31,30,-1
eugene jackson,jeremy horn,30.0,25.0,68.0,73.0,0.5960904809072348,0.7207208478570722,1.2741937582224652,1.2741937582224652,0.900732763604033,0.7440580190442426,0.625,0.8053097345132744,24,113,-1
enson inoue,royce alger,,,70.0,,0.6007479431563201,,0.6958320965812744,,0.5613140604467806,0.9340826698197278,0.6,0.6,20,5,1
t.j. dillashaw,walel watson,26.0,28.0,66.0,71.0,0.7427178000225407,0.5924049772217311,1.2741937582224652,1.2741937582224652,0.9340826698197278,0.900732763604033,0.8421052631578947,0.5384615384615384,19,26,1
matt hughes,frank trigg,32.0,33.0,69.0,68.0,0.7506553240271496,0.7244721593929946,1.2741937582224652,1.2741937582224652,0.9340826698197278,0.7479316717432264,0.8333333333333334,0.7,54,30,1
anton kuivanen,justin salas,28.0,30.0,69.0,68.0,0.7034506458590228,0.6629740350259696,0.7251565145994766,1.2741937582224652,0.7440580190442426,0.9340826698197278,0.7027027027027027,0.631578947368421,37,19,-1
tim sylvia,tra telligman,31.0,40.0,80.0,74.0,0.7095609026396921,0.5841829705152934,1.2741937582224652,1.2741937582224652,0.7440580190442426,0.7440580190442426,0.7560975609756098,0.5833333333333334,41,12,1
chico camus,kyoji horiguchi,30.0,25.0,66.0,65.0,0.7195520012273939,0.7357881938413439,1.2741937582224652,0.6958320965812744,0.7468919244703861,0.7440580190442426,0.6923076923076923,0.925925925925926,26,27,-1
evan tanner,homer moore,30.0,30.0,72.0,70.0,,,1.2741937582224652,1.2741937582224652,0.9340826698197278,0.9340826698197278,0.8,0.7428571428571429,40,35,1
luke barnatt,andrew craig,25.0,27.0,78.0,73.0,0.7032502722775524,0.6930556354640124,0.7161993241395903,1.2741937582224652,0.900732763604033,0.8781995850704947,0.7,0.6923076923076923,20,13,1
vinny magalhaes,eliot marshall,25.0,29.0,75.0,75.0,0.6401976238650484,0.6629740350259696,0.847999030848203,1.2741937582224652,0.8781995850704947,0.8781995850704947,0.6666666666666666,0.7142857142857143,27,14,-1
siyar bahadurzada,paulo thiago,28.0,31.0,71.0,71.0,0.7263644380937496,0.7660347977488137,0.8006671114076052,0.847999030848203,0.900732763604033,0.7479316717432264,0.8,0.6428571428571429,30,28,1
nicholas musoke,viscardi andrade,28.0,30.0,72.0,72.0,0.763300118223273,0.7324025596276905,0.7296460731164326,0.847999030848203,0.7461020623994898,0.8781995850704947,0.7222222222222222,0.7307692307692307,18,26,1
jared hamman,rodney wallace,28.0,29.0,75.0,69.0,0.648554709842052,0.6197955622039392,1.2741937582224652,1.2741937582224652,0.900732763604033,0.9340826698197278,0.7,0.6190476190476191,20,42,1
tamdan mccrory,ryan madigan,,,76.0,72.0,0.7375900484194781,0.6257479431563201,1.2741937582224652,1.2741937582224652,0.9340826698197278,0.900732763604033,0.7368421052631579,0.625,19,8,1
