pageurl,eid,mid,event_name,event_org,event_date,event_place,f1pageurl,f2pageurl,f1name,f2name,f1result,f2result,f1fid,f2fid,method,method_d,ref,round,time
/events/UFC-Fight-Night-36-Machida-vs-Mousasi-33523,33523,4,UFC Fight Night 36 - Machida vs. Mousasi,Ultimate Fighting Championship,2/15/2014,"Arena Jaragua, Jaragua do Sul, Santa Catarina, Brazil",/fighter/Iuri-Alcantara-16129,/fighter/Wilson-Reis-23401,Iuri Alcantara,Wilson Reis,win,loss,16129,23401,Decision,Split,Osiris Maia,3,5:00
/events/UFC-on-Fuel-TV-5-Struve-vs-Miocic-22725,22725,11,UFC on Fuel TV 5 - Struve vs. Miocic,Ultimate Fighting Championship,9/29/2012,"Capital FM Arena, Nottingham, England, England",/fighter/Stipe-Miocic-39537,/fighter/Stefan-Struve-15063,Stipe Miocic,Stefan Struve,loss,win,39537,15063,TKO,Punches,Herb Dean,2,3:50
/events/UFC-113-Machida-vs-Shogun-2-12390,12390,8,UFC 113 - Machida vs. Shogun 2,Ultimate Fighting Championship,5/8/2010,"Bell Centre, Montreal, Quebec, Canada",/fighter/Matt-Mitrione-49519,/fighter/Kevin-Ferguson-22388,Matt Mitrione,Kevin Ferguson,win,loss,49519,22388,TKO,Punches,Dan Miragliotta,2,4:24
/events/UFC-135-Jones-vs-Rampage-17043,17043,3,UFC 135 - Jones vs. Rampage,Ultimate Fighting Championship,9/24/2011,"Pepsi Center, Denver, Colorado, United States",/fighter/Junior-Assuncao-10380,/fighter/Eddie-Yagin-2825,Junior Assuncao,Eddie Yagin,win,loss,10380,2825,Decision,Unanimous,Josh Rosenthal,3,5:00
/events/UFC-Fight-Night-63-Mendes-vs-Lamas-42187,42187,1,UFC Fight Night 63 - Mendes vs. Lamas,Ultimate Fighting Championship,4/4/2015,"Patriot Center, Fairfax, Virginia, United States",/fighter/Justin-Jones-93683,/fighter/Ron-Stallings-11950,Justin Jones,Ron Stallings,loss,win,93683,11950,Decision,Unanimous,Todd McGovern,3,5:00
/events/UFC-Fight-Night-66-Edgar-vs-Faber-42197,42197,6,UFC Fight Night 66 - Edgar vs. Faber,Ultimate Fighting Championship,5/16/2015,"Mall of Asia Arena, Pasay, Metro Manila, Philippines",/fighter/Tae-Hyun-Bang-23167,/fighter/Jon-Tuck-45108,Tae Hyun Bang,Jon Tuck,loss,win,23167,45108,Submission,Rear-Naked Choke,Steve Perceval,1,3:56
/events/UFC-146-Dos-Santos-vs-Mir-20353,20353,2,UFC 146 - Dos Santos vs. Mir,Ultimate Fighting Championship,5/26/2012,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",/fighter/Kyle-Kingsbury-16558,/fighter/Glover-Teixeira-4655,Kyle Kingsbury,Glover Teixeira,loss,win,16558,4655,Submission,Arm-Triangle Choke,Steve Mazzagatti,1,1:53
/events/UFC-Fight-Night-63-Mendes-vs-Lamas-42187,42187,4,UFC Fight Night 63 - Mendes vs. Lamas,Ultimate Fighting Championship,4/4/2015,"Patriot Center, Fairfax, Virginia, United States",/fighter/Lauren-Murphy-66725,/fighter/Liz-Carmouche-67007,Lauren Murphy,Liz Carmouche,loss,win,66725,67007,Decision,Unanimous,Keith Peterson,3,5:00
/events/UFC-140-Jones-vs-Machida-17274,17274,11,UFC 140 - Jones vs. Machida,Ultimate Fighting Championship,12/10/2011,"Air Canada Centre, Toronto, Ontario, Canada",/fighter/Antonio-Rodrigo-Nogueira-1440,/fighter/Frank-Mir-2329,Antonio Rodrigo Nogueira,Frank Mir,loss,win,1440,2329,Technical,Submission (Kimura,Herb Dean,1,3:38
/events/UFC-Fight-Night-8-Evans-vs-Salmon-4664,4664,3,UFC Fight Night 8 - Evans vs. Salmon,Ultimate Fighting Championship,1/25/2007,"Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",/fighter/Chris-Price-14121,/fighter/Ed-Herman-6561,Chris Price,Ed Herman,loss,win,14121,6561,Submission,Armbar,Jorge Alonso,1,2:58
/events/UFC-Fight-Night-36-Machida-vs-Mousasi-33523,33523,8,UFC Fight Night 36 - Machida vs. Mousasi,Ultimate Fighting Championship,2/15/2014,"Arena Jaragua, Jaragua do Sul, Santa Catarina, Brazil",/fighter/Charles-Oliveira-30300,/fighter/Andy-Ogle-42659,Charles Oliveira,Andy Ogle,win,loss,30300,42659,Submission,Triangle Choke,Mario Yamasaki,3,2:40
/events/UFC-49-Unfinished-Business-2400,2400,3,UFC 49 - Unfinished Business,Ultimate Fighting Championship,8/21/2004,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",/fighter/Chris-Lytle-267,/fighter/Ronald-Jhun-524,Chris Lytle,Ronald Jhun,win,loss,267,524,Submission,Guillotine Choke,,2,1:17
/events/UFC-166-Velasquez-vs-dos-Santos-3-30813,30813,3,UFC 166 - Velasquez vs. dos Santos 3,Ultimate Fighting Championship,10/19/2013,"Toyota Center, Houston, Texas, United States",/fighter/Mike-Rio-54833,/fighter/Tony-Ferguson-31239,Mike Rio,Tony Ferguson,loss,win,54833,31239,Submission,Brabo Choke,Kerry Hatley,1,1:52
/events/UFC-37-High-Impact-850,850,6,UFC 37 - High Impact,Ultimate Fighting Championship,5/10/2002,"CenturyTel Center, Bossier City, Louisiana, United States",/fighter/Paul-Creighton-4441,/fighter/BJ-Penn-1307,Paul Creighton,B.J. Penn,loss,win,4441,1307,TKO,Punches,,2,3:23
/events/UFC-on-Fox-3-Diaz-vs-Miller-20039,20039,1,UFC on Fox 3 - Diaz vs. Miller,Ultimate Fighting Championship,5/5/2012,"Izod Center, East Rutherford, New Jersey, United States",/fighter/Mike-Massenzio-12852,/fighter/Karlos-Vemola-40238,Mike Massenzio,Karlos Vemola,loss,win,12852,40238,Submission,Rear-Naked Choke,Dan Miragliotta,2,1:07
/events/UFC-on-Fuel-TV-9-Mousasi-vs-Latifi-27589,27589,1,UFC on Fuel TV 9 - Mousasi vs. Latifi,Ultimate Fighting Championship,4/6/2013,"Ericsson Globe Arena, Stockholm, Sweden, Sweden",/fighter/Besam-Yousef-32445,/fighter/Papy-Abedi-20812,Besam Yousef,Papy Abedi,loss,win,32445,20812,Decision,Split,Robert Sundel,3,5:00
